Symbol: CRM Id,Strategy,Side,Amount,Price,Date/Time,Trade P/L,P/L,Position,
55,DTSreversal(BUY),Buy to Open,78.0,$32.01,3/2/11,,$4669.87,78.0,
56,DTSreversal(BUY),Buy to Open,78.0,$32.00,3/3/11,,$4750.21,156.0,
57,DTSreversal(BUY),Buy to Open,78.0,$32.01,3/8/11,,$4629.31,234.0,
58,DTSreversal(SELL),Sell to Close,-234.0,$33.62,3/31/11,$378.11,$5048.76,0.0,
59,DTSreversal(BUY),Buy to Open,68.0,$36.51,5/9/12,,$5099.08,68.0,
60,DTSreversal(BUY),Buy to Open,73.0,$33.86,5/11/12,,$4951.38,141.0,
61,DTSreversal(BUY),Buy to Open,72.0,$34.45,5/14/12,,$4885.89,213.0,
62,DTSreversal(SELL),Sell to Close,-213.0,$33.45,5/18/12,($309.31),$4739.45,0.0,
63,DTSreversal(SELL),Sell to Close,-76.0,$32.75,6/4/12,$0.00,$4735.08,-76.0,
64,DTSreversal(BUY),Buy to Open,76.0,$32.75,6/4/12,,$4739.45,0.0,
65,DTSreversal(BUY),Buy to Open,68.0,$36.33,10/26/12,,$4762.23,68.0,
66,DTSreversal(BUY),Buy to Open,68.0,$36.27,11/6/12,,$4825.13,136.0,
67,DTSreversal(SELL),Sell to Close,-136.0,$39.70,11/23/12,$461.72,$5201.17,0.0,
68,DTSreversal(BUY),Buy to Open,61.0,$40.88,2/26/13,,$5198.88,61.0,
69,DTSreversal(BUY),Buy to Open,61.0,$40.84,2/27/13,,$5308.07,122.0,
70,DTSreversal(SELL),Sell to Close,-122.0,$45.50,3/4/13,$566.23,$5767.40,0.0,
71,DTSreversal(BUY),Buy to Open,59.0,$42.13,4/4/13,,$5736.43,59.0,
72,DTSreversal(BUY),Buy to Open,60.0,$41.60,4/5/13,,$5706.98,119.0,
73,DTSreversal(BUY),Buy to Open,60.0,$41.36,4/8/13,,$5771.42,179.0,
74,DTSreversal(SELL),Sell to Close,-179.0,$43.15,5/10/13,$260.88,$6028.28,0.0,
75,DTSreversal(BUY),Buy to Open,59.0,$41.80,5/29/13,,$6035.95,59.0,
76,DTSreversal(SELL),Sell to Close,-59.0,$37.80,6/14/13,($236.00),$5792.28,0.0,
77,DTSreversal(BUY),Buy to Open,48.0,$51.56,12/3/13,,$5795.64,48.0,
78,DTSreversal(BUY),Buy to Open,49.0,$50.98,12/13/13,,$5778.99,97.0,
79,DTSreversal(BUY),Buy to Open,48.0,$51.13,12/16/13,,$5783.34,145.0,
80,DTSreversal(SELL),Sell to Close,-145.0,$54.58,12/24/13,$486.96,$6279.24,0.0,
81,DTSreversal(BUY),Buy to Open,42.0,$58.16,3/17/14,,$6285.96,42.0,
82,DTSreversal(BUY),Buy to Open,43.0,$57.03,3/24/14,,$6174.83,85.0,
83,DTSreversal(BUY),Buy to Open,44.0,$56.36,3/25/14,,$6212.24,129.0,
84,DTSreversal(SELL),Sell to Close,-129.0,$54.31,6/16/14,($368.86),$5910.38,0.0,
85,DTSreversal(BUY),Buy to Open,42.0,$58.30,11/21/14,,$5905.76,42.0,
86,DTSreversal(BUY),Buy to Open,42.0,$58.19,11/24/14,,$5897.36,84.0,
87,DTSreversal(SELL),Sell to Close,-84.0,$59.86,12/22/14,$135.66,$6046.04,0.0,
88,DTSreversal(BUY),Buy to Open,35.0,$70.00,6/30/15,,$6033.09,35.0,
89,DTSreversal(BUY),Buy to Open,35.0,$69.63,7/1/15,,$6096.79,70.0,
90,DTSreversal(BUY),Buy to Open,36.0,$69.16,7/7/15,,$6116.79,106.0,
91,DTSreversal(SELL),Sell to Close,-106.0,$72.81,7/20/15,$341.05,$6387.09,0.0,
92,DTSreversal(BUY),Buy to Open,36.0,$67.82,8/21/15,,$6434.97,36.0,
93,DTSreversal(SELL),Sell to Close,-36.0,$71.88,9/17/15,$146.16,$6533.25,0.0,
94,DTSreversal(BUY),Buy to Open,33.0,$74.30,1/8/16,,$6497.94,33.0,
95,DTSreversal(SELL),Sell to Close,-33.0,$65.69,1/29/16,($284.13),$6249.12,0.0,
96,DTSreversal(BUY),Buy to Open,32.0,$76.07,6/28/16,,$6296.48,32.0,
97,DTSreversal(SELL),Sell to Close,-32.0,$81.66,7/12/16,$178.88,$6428.00,0.0,
98,DTSreversal(BUY),Buy to Open,31.0,$78.92,8/16/16,,$6398.24,31.0,
99,DTSreversal(BUY),Buy to Open,32.0,$77.96,8/17/16,,$6294.92,63.0,
100,DTSreversal(BUY),Buy to Open,32.0,$76.91,8/19/16,,$6386.24,95.0,
101,DTSreversal(SELL),Sell to Close,-95.0,$74.36,9/13/16,($338.16),$6089.84,0.0,
102,DTSreversal(BUY),Buy to Open,29.0,$86.18,6/13/17,,$6121.45,29.0,
103,DTSreversal(BUY),Buy to Open,29.0,$86.00,6/19/17,,$6173.94,58.0,
104,DTSreversal(SELL),Sell to Close,-58.0,$90.40,7/13/17,$249.98,$6339.82,0.0,
105,DTSreversal(BUY),Buy to Open,28.0,$87.63,8/11/17,,$6358.30,28.0,
106,DTSreversal(SELL),Sell to Close,-28.0,$90.70,8/16/17,$85.96,$6425.78,0.0,
107,DTSreversal(BUY),Buy to Open,27.0,$92.34,9/27/17,,$6449.27,27.0,
108,DTSreversal(SELL),Sell to Close,-27.0,$95.36,10/4/17,$81.54,$6507.32,0.0,
109,DTSreversal(BUY),Buy to Open,25.0,$99.85,12/5/17,,$6528.32,25.0,
110,DTSreversal(SELL),Sell to Close,-25.0,$105.48,12/18/17,$140.75,$6648.07,0.0,
111,DTSreversal(BUY),Buy to Open,24.0,$104.03,2/9/18,,$6718.87,24.0,
112,DTSreversal(SELL),Sell to Close,-24.0,$113.12,2/16/18,$218.16,$6866.23,0.0,
113,DTSreversal(BUY),Buy to Open,21.0,$114.43,3/26/18,,$6961.57,21.0,
114,DTSreversal(BUY),Buy to Open,21.0,$113.81,3/28/18,,$6814.15,42.0,
115,DTSreversal(BUY),Buy to Open,22.0,$112.88,3/29/18,,$7033.03,64.0,
116,DTSreversal(SELL),Sell to Close,-64.0,$121.40,4/13/18,$493.20,$7359.43,0.0,
117,DTSreversal(BUY),Buy to Open,18.0,$137.15,8/1/18,,$7368.97,18.0,
118,DTSreversal(SELL),Sell to Close,-18.0,$144.44,8/8/18,$131.22,$7490.65,0.0,
119,DTSreversal(BUY),Buy to Open,16.0,$148.65,10/9/18,,$7488.25,16.0,
120,DTSreversal(BUY),Buy to Open,16.0,$148.50,10/10/18,,$7146.17,32.0,
121,DTSreversal(BUY),Buy to Open,18.0,$137.81,10/11/18,,$7217.67,50.0,
122,DTSreversal(SELL),Sell to Close,-50.0,$120.67,11/21/18,($1201.48),$6289.17,0.0,
123,DTSreversal(BUY),Buy to Open,16.0,$153.15,5/14/19,,$6367.89,16.0,
124,DTSreversal(SELL),Sell to Close,-16.0,$161.27,6/10/19,$129.92,$6419.09,0.0,
125,DTSreversal(BUY),Buy to Open,13.0,$178.87,2/27/20,,$6331.73,13.0,
126,DTSreversal(BUY),Buy to Open,14.0,$172.15,2/28/20,,$6284.48,27.0,
127,DTSreversal(BUY),Buy to Open,14.0,$170.40,3/2/20,,$6545.24,41.0,
128,DTSreversal(SELL),Sell to Close,-41.0,$151.21,3/10/20,($921.40),$5497.69,0.0,
129,DTSreversal(BUY),Buy to Open,10.0,$237.14,10/30/20,,$5448.99,10.0,
130,DTSreversal(BUY),Buy to Open,10.0,$232.27,11/2/20,,$5452.59,20.0,
131,DTSreversal(BUY),Buy to Open,10.0,$232.45,11/3/20,,$5592.99,30.0,
132,DTSreversal(SELL),Sell to Close,-30.0,$260.22,11/6/20,$788.00,$6285.69,0.0,
133,DTSreversal(BUY),Buy to Open,11.0,$220.78,12/3/20,,$6287.78,11.0,
134,DTSreversal(BUY),Buy to Open,11.0,$220.97,12/4/20,,$6395.36,22.0,
135,DTSreversal(BUY),Buy to Open,11.0,$225.86,12/7/20,,$6456.08,33.0,
136,DTSreversal(SELL),Sell to Close,-33.0,$228.46,2/2/21,$195.47,$6481.16,0.0,
137,DTSreversal(BUY),Buy to Open,8.0,$289.17,11/26/21,,$6441.48,8.0,
138,DTSreversal(BUY),Buy to Open,8.0,$284.21,11/29/21,,$6641.96,16.0,
139,DTSreversal(BUY),Buy to Open,9.0,$251.50,12/2/21,,$6160.62,25.0,
140,DTSreversal(SELL),Sell to Close,-25.0,$227.67,1/6/22,($1158.79),$5322.37,0.0,
141,DTSreversal(BUY),Buy to Open,11.0,$214.59,8/7/23,,$5338.54,11.0,
142,DTSreversal(BUY),Buy to Open,11.0,$211.58,8/9/23,,$5163.42,22.0,
143,DTSreversal(BUY),Buy to Open,12.0,$205.86,8/10/23,,$5244.68,34.0,
144,DTSreversal(SELL),Sell to Close,-34.0,$221.46,9/1/23,$371.45,$5693.82,0.0,
145,DTSreversal(BUY),Buy to Open,11.0,$208.61,9/22/23,,$5669.84,11.0,
146,DTSreversal(BUY),Buy to Open,12.0,$206.43,9/25/23,,$5667.77,23.0,
147,DTSreversal(BUY),Buy to Open,12.0,$206.34,9/26/23,,$5533.02,35.0,
148,DTSreversal(SELL),Sell to Close,-35.0,$208.11,11/3/23,$35.90,$5729.72,0.0,
149,DTSreversal(BUY),Buy to Open,9.0,$272.90,4/16/24,,$5770.31,9.0,
150,DTSreversal(BUY),Buy to Open,9.0,$277.41,4/17/24,,$5750.69,18.0,
151,DTSreversal(BUY),Buy to Open,9.0,$276.32,4/18/24,,$5631.89,27.0,
152,DTSreversal(SELL),Sell to Close,-27.0,$287.54,5/16/24,$323.91,$6053.63,0.0,
153,DTSreversal(BUY),Buy to Open,9.0,$272.29,5/28/24,,$6031.49,9.0,
154,DTSreversal(BUY),Buy to Open,9.0,$269.83,5/29/24,,$6063.71,18.0,
155,DTSreversal(BUY),Buy to Open,9.0,$271.62,5/30/24,,$4616.24,27.0,
156,DTSreversal(SELL),Sell to Close,-27.0,$218.01,5/31/24,($1437.39),$4616.24,0.0,
157,DTSreversal(BUY),Buy to Open,7.0,$324.93,1/8/25,,$4630.03,7.0,
158,DTSreversal(BUY),Buy to Open,7.0,$317.85,1/13/25,,$4583.76,14.0,
159,DTSreversal(BUY),Buy to Open,7.0,$319.07,1/14/25,,$4677.63,21.0,
160,DTSreversal(SELL),Sell to Close,-21.0,$347.10,1/28/25,$556.15,$5172.39,0.0,
161,DTSreversal(BUY),Buy to Open,7.0,$318.43,2/21/25,,$5111.98,7.0,
162,DTSreversal(BUY),Buy to Open,8.0,$309.80,2/24/25,,$5089.78,15.0,
163,DTSreversal(BUY),Buy to Open,8.0,$308.32,2/25/25,,$5033.66,23.0,
164,DTSreversal(SELL),Sell to Close,-23.0,$272.90,3/11/25,($897.27),$4275.12,0.0,
